question,combined_answer,combined_score,combined_correct,self_answer,self_score,self_correct,cons_answer,cons_score,cons_correct,token_answer,token_score,token_correct
Who was the man behind The Chipmunks?,ross bagdasarian sr,0.73,False,Ross Bagdasarian Sr.,0.87,False,ross bagdasarian sr,0.6,False,ross bagdasarian sr,0.7237,False
Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,0.81,True,Sunset Boulevard,0.79,True,sunset boulevard,0.8,True,sunset boulevard,0.8369,True
Who was the next British Prime Minister after Arthur Balfour?,sir henry campbellbannerman,0.52,True,Herbert Henry Asquith,0.72,False,sir henry campbellbannerman,0.5,True,henry campbellbannerman,0.9346,False
Who had a 70s No 1 hit with Kiss You All Over?,exile,0.93,True,Exile,0.79,True,exile,1.0,True,exile,0.993,True
What claimed the life of singer Kathleen Ferrier?,breast cancer,0.78,True,Cancer,0.71,True,breast cancer,0.6,True,breast cancer,0.9597,True
Rita Coolidge sang the title song for which Bond film?,octopussy,0.85,True,Octopussy,0.59,True,octopussy,0.9,True,octopussy,0.9984,True
What was the last US state to reintroduce alcohol after prohibition?,mississippi,0.71,False,Mississippi,0.73,False,mississippi,0.4,False,mississippi,0.9165,False
Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,0.6,True,Lauren Bacall,0.62,True,lauren bacall,0.2,True,lauren bacall,0.891,True
What is the Japanese share index called?,nikkei 225,0.94,True,Nikkei 225,0.85,True,nikkei 225,1.0,True,nikkei 225,0.9643,True
What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,0.67,True,Moonwalk,0.56,True,moonwalk,0.8,True,moonwalk,0.6498999999999999,True
In which decade did stereo records first go on sale?,1950s,0.68,False,1958,0.62,False,1950s,0.8,False,1958,0.6332,False
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1936,0.67,False,1936,0.79,False,1936,0.3,False,1936,0.8685,False
Which volcano in Tanzania is the highest mountain in Africa?,mount kilimanjaro,0.92,True,Kilimanjaro,0.95,True,mount kilimanjaro,0.9,True,kilimanjaro,0.9196,True
The flag of Libya is a plain rectangle of which color?,green,0.7,True,Green,0.83,True,green,0.3,True,green,0.8931,True
Of which African country is Niamey the capital?,niger,0.95,True,Niger,0.83,True,niger,1.0,True,niger,0.9954,True
Who was the director of the CIA from 1976-81?,stansfield turner,0.94,False,Stansfield Turner,0.83,False,stansfield turner,1.0,False,stansfield turner,0.9812,False
Which musical featured the song The Street Where You Live?,my fair lady,0.97,True,My Fair Lady,0.89,True,my fair lady,1.0,True,my fair lady,0.9997,True
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",adolf hitler,0.51,True,Winston Churchill,0.62,False,adolf hitler,0.5,True,adolf hitler,0.8962,True
Who had an 80s No 1 hit with Hold On To The Nights?,richard marx,0.83,True,Dennis DeYoung,0.72,False,richard marx,1.0,True,richard marx,0.7736000000000001,True
Who directed the classic 30s western Stagecoach?,john ford,0.95,True,John Ford,0.95,True,john ford,1.0,True,john ford,0.9178,True
Dave Gilmore and Roger Waters were in which rock group?,pink floyd,0.9,True,Pink Floyd,0.95,True,pink floyd,1.0,True,pink floyd,0.7974,True
Which highway was Revisited in a classic 60s album by Bob Dylan?,highway 61,0.89,True,Highway 61,0.89,True,highway 61,0.8,True,highway 61,0.9514,True
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,romania,0.86,True,Romania,0.81,True,romania,0.8,True,romania,0.9529,True
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,0.82,True,Wild Palms,0.42,True,wild palms,1.0,True,wild palms,0.9839,True
If I Were A Rich Man Was a big hit from which stage show?,fiddler on the roof,0.94,True,Fiddler on the Roof,0.95,True,fiddler on the roof,0.9,True,fiddler on the roof,0.9508,True
