question,ground_truth,model_answer,confidence,is_correct
Who was the man behind The Chipmunks?,David Seville,Ross Bagdasarian Sr.,0.95,False
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard,0.83,True
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,Henry Campbell-Bannerman,0.79,True
Who had a 70s No 1 hit with Kiss You All Over?,Exile,Exile,0.73,True
What claimed the life of singer Kathleen Ferrier?,Cancer,Cancer,0.67,True
Rita Coolidge sang the title song for which Bond film?,Octopussy,Octopussy,0.63,True
What was the last US state to reintroduce alcohol after prohibition?,Utah,Mississippi,0.74,False
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Claudia Barrett,0.69,False
What is the Japanese share index called?,Nikkei,Nikkei 225,0.83,True
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,Moonwalk,0.62,True
In which decade did stereo records first go on sale?,1930s,1958,0.62,False
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm",1936,0.73,False
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Mount Kilimanjaro,0.95,True
The flag of Libya is a plain rectangle of which color?,Green,Red,0.72,False
Of which African country is Niamey the capital?,Niger,Niger,0.85,True
Who was the director of the CIA from 1976-81?,George Bush,Stansfield Turner,0.83,False
Which musical featured the song The Street Where You Live?,My Fair Lady,My Fair Lady,0.72,True
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,Winston Churchill and the British government,0.71,False
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,,0.0,False
Who directed the classic 30s western Stagecoach?,John Ford,John Ford,0.92,True
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,Pink Floyd,0.92,True
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway 61,0.85,True
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania,Romania,0.83,True
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,Wild Palms,0.69,True
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,Fiddler on the Roof,0.95,True
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty,Mutiny on the Bounty,0.89,True
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Capote,0.79,False
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,a Boojum,0.89,True
"In the Bible, who did the sun and moon stand still before?",Joshua,Joshua,0.95,True
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,Dangerous Minds,0.75,True
What was President Gerald Ford's middle name?,Rudolph,Gerald Rudolph Ford Jr.,0.95,True
Art Garfunkel trained for which profession although he didn't qualify?,Architect,medicine,0.72,False
Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess,Günter Guillaume,0.79,False
What was Eddie Murphy's first movie?,48 Hours,48 Hrs.,0.83,True
In the 80s who wrote the novel Empire of The Sun?,J. G. Ballard,J.G. Ballard,0.83,True
Kagoshima international airport is in which country?,Japan,Japan,0.95,True
In which sport could the Pacers take on the Pistons?,A: Basketball,Basketball,0.95,True
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Stars on 45 medley,Angel Is a Hole,0.63,False
Where in Canada is the Lion's Gate bridge?,Vancouver,"Vancouver, British Columbia",0.85,True
What was Walter Matthau's first movie?,The Kentuckian,Battle Hymn (1957),0.75,False
Otis Barton was a pioneer in exploring where?,Underwater,Deep sea submersibles,0.78,False
Where in England was actor Nigel Hawthorne born?,Coventry,"Derbyshire, England",0.65,False
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",A manticore,The Sphinx,0.8,False
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,"The Cyclopes, three one-eyed giants.",0.83,True
Which musician founded the Red Hot Peppers?,Jelly Roll Morton,"Anthony Kiedis and Flea, but Anthony Kiedis is often credited as the founder.",0.42,False
Where did the Shinning Path terrorists operate?,Peru,Peru,0.83,True
How old was Jimi Hendrix when he died?,27,27 years old,0.85,True
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,Richard Noble,0.79,True
In which state was Gene Vincent born?,Virginia,Virginia,0.72,True
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan,Marshall Plan,0.92,True
Brandon Lee died during the making of which movie?,The Crow,The Crow,0.95,True
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers,The Staple Singers,0.79,True
Who had a Too Legit To Quit Tour?,MC Hammer,MC Hammer,0.85,True
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster,Success and Failure,0.95,False
Who is the most successful UK solo artist in the USA?,Elton John,Elton John,0.78,True
Which country does the airline TAAG come from?,Angola,Angola,0.72,True
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,Upside Down,0.72,True
